time,data
30.644,32109
30.993,32109
31.344,32109
31.708,32109
32.065,32073
32.771,31999
33.113,31999
33.829,31999
34.179,31999
34.54,31999
34.891,31999
35.246,31999
35.594,31999
35.95,31999
36.291,31999
36.643,32073
36.997,31999
38.051,32036
38.407,32036
38.76,32036
39.111,32036
65593.035,32073
65593.39,32073
65593.745,32073
196682.99500000005,37420
327772.8929999991,25955
458861.5339999988,38042
524415.0959999989,30204
655503.9240000002,36540
721057.6240000019,34452
917681.6000000038,34269
1048769.3500000043,38665
1245392.4210000024,36101
1310945.0610000018,28410
1442033.0260000005,34086
1638655.9119999988,32841
1769743.3719999979,34855
1835296.153999997,40130
2031919.9169999938,36577
2163007.419999993,39288
2359630.1809999947,35808
2425182.498999995,34855
2490734.734999996,33793
2556286.5319999964,31157
2752908.862999998,38775
2883995.9059999976,39947
3015082.8669999996,34599
3277240.7870000005,32804
3473862.7950000013,39727
3604949.352000002,35478
3670500.8680000016,40680
3801586.909000001,40680
3998192.6980000013,22659
4129313.4120000014,33610
4194898.829000002,32695
4457089.633000008,40423
4522675.38000001,40716
4653795.985000015,40716
4719382.009000021,33683
4784968.09500003,40570
4916089.128000034,34306
4981674.977000034,34306
5047260.849000035,40606
5178382.142000044,38335
5243968.52800005,40643
5440625.381000061,26981
5571746.994000071,22622
5702869.054000076,23428
5833990.857000085,40423
6096182.692000091,40423
6227304.235000096,40423
6358426.1900001,40496
6489548.233000105,33793
6555134.650000107,31889
6555135.004000107,32512
6555135.350000107,32439
6555135.707000107,32475
6555136.064000106,32475
6555136.414000106,32475
6555137.122000106,32549
6555137.468000106,32439
6555137.816000106,32439
6555138.173000106,32439
6555138.870000105,32475
6555139.586000105,32439
6555139.946000106,32475
6555140.2970001055,32475
6555140.646000106,32439
6555141.002000106,32439
6555141.3480001055,32475
6555142.048000106,32512
6555143.4560001055,32475
6555151.917000106,32549
6555152.261000105,32549
6555152.611000105,32585
6555152.969000105,32585
6620700.131000104,26651
6751783.3350001145,33537
6948402.116000127,40863
7145019.301000131,34159
7276108.517000133,41083
7407189.882000135,28886
7472736.57200014,41156
7603818.160000143,32109
7734899.699000149,35881
7865982.22000016,31816
7931528.14500016,37236
7997074.370000166,29692
8193690.5440001665,27897
8259236.999000173,33903
8455854.009000167,32366
8586934.798000148,27714
8718015.85600011,30790
8783561.484000087,23684
8980177.043000057,26578
9045722.866000034,32182
9111268.216000015,28556
9242348.831999974,40423
9504498.974999953,41156
9635579.392999941,33647
9701124.368999928,36943
9832203.899999913,33170
9897748.62499989,26285
9963293.387999872,27823
10028838.08699985,23977
10159917.717999827,34416
10290996.924999818,26065
10487611.432999806,32987
10553155.535999794,24747
10618699.821999764,29911
10815305.604999742,34636
10946433.367999716,29582
11077561.606999677,28739
11208689.967999637,40570
11470889.597999597,32256
11602017.494999574,28996
11667610.830999557,23135
11733203.842999548,33573
11864332.27999953,38995
11929933.500999514,32695
11995476.977999492,28666
12126555.344999462,34892
12192098.273999447,26798
12257641.864999413,34269
12323184.995999385,32073
12454263.06599936,32182
12585340.697999349,32366
12650883.52599933,32622
12847496.37599931,30790
13044109.548999276,32366
13240722.221999258,36174
13371799.844999222,31157
13437342.02099921,32585
13568420.264999174,37346
13568420.597999174,37346
13633962.129999174,32292
13830574.941999137,23062
