time,data
131128.745,42767
131128.753,31620
131128.76,42767
131128.766,39246
131128.77300000002,39491
131128.92500000002,42767
131128.931,23397
131128.937,34265
131128.94400000002,42767
131128.94900000002,38004
131128.95700000002,22769
131128.961,29474
131128.96600000001,31105
131128.97400000002,22769
131128.98200000002,25954
131128.98900000003,22769
131128.99700000003,22769
131129.00100000002,22769
131129.00800000003,22769
131129.01600000003,22769
131129.02400000003,22769
131129.03000000003,22769
131129.03300000002,22769
131129.04100000003,42767
131129.04800000004,42767
131129.05700000003,42767
131129.25400000002,42767
131129.26100000003,42767
131129.26400000002,22769
131129.27200000003,42767
131129.28000000003,42767
131129.28800000003,42767
131129.29400000002,42767
131129.30100000004,22769
131129.30700000003,22769
131129.31300000002,22769
131129.32000000004,42000
196664.32000000004,42000
196664.32600000003,34906
196664.33400000003,22769
196664.34100000004,22769
196664.34700000004,22769
196664.35300000003,22769
196664.36000000004,22769
196664.55500000005,38784
196664.56300000005,23481
196664.56800000006,26104
196664.57600000006,42767
196664.58400000006,24660
196664.59200000006,34801
196664.59700000007,32794
196664.60500000007,29566
196664.61100000006,38072
196664.61700000006,25477
196664.62400000007,29916
196664.63000000006,28430
196664.63500000007,29967
196664.64100000006,35689
196664.64900000006,35018
196664.65700000006,24958
196664.66100000005,31388
196664.66900000005,27142
196664.67500000005,23175
196664.68300000005,22769
196664.68800000005,26553
196664.69600000005,26846
196664.69900000005,27006
196664.70700000005,24816
196664.82700000005,41004
196664.83500000005,39369
196664.84100000004,42767
196664.84800000006,42767
196664.85400000005,22769
196664.86100000006,42767
196664.86700000006,22769
262217.99500000005,24025
262218.00000000006,22769
262218.00700000004,22769
262218.015,22769
262218.021,22769
262218.029,22769
262218.034,22769
262218.04199999996,22769
262218.04999999993,22769
262218.05299999996,22769
262218.219,22769
262218.22599999997,22769
262218.23099999997,22769
262218.23699999996,22769
262218.24499999994,22769
262218.25099999993,22769
262218.2579999999,22769
262218.2629999999,22769
262218.2709999999,42767
262218.2739999999,42767
262218.28299999994,42767
262218.2899999999,42767
262218.2979999999,42767
262218.3029999999,42767
262218.31099999987,42767
262218.31899999984,42767
262218.32499999984,42767
262218.3329999998,22769
262218.5349999998,39289
262218.5429999998,42110
262218.55099999974,42767
262218.80499999976,22769
262218.81299999973,22769
262218.81799999974,22769
262218.82299999974,22769
262218.82899999974,22769
262218.83499999973,30944
262218.8419999997,22769
262218.85099999973,22769
262218.8589999997,22769
262218.8669999997,22769
262219.0389999997,42767
262219.0469999997,42767
262219.0509999997,42767
327754.0509999997,42767
327754.05899999966,42767
327754.06599999964,42767
327754.07099999965,42767
327754.0789999996,42767
327754.0849999996,42767
327754.0929999996,42767
327754.0989999996,42767
327754.10599999956,42767
327754.11199999956,42767
327754.11699999956,42767
327754.12299999956,22769
327754.31399999955,22769
327754.31899999955,22769
327754.32299999957,22769
327754.3329999996,22769
327754.33899999957,22769
327754.34699999954,22769
327754.3539999995,22769
327754.3619999995,22769
327754.3699999995,22769
327754.37599999947,22769
327754.38299999945,22769
327754.38899999944,22769
327754.39499999944,25623
327754.39899999945,42767
327754.4069999994,29726
327754.4149999994,39441
327754.42299999937,29653
327754.4269999994,33438
327754.43399999937,30816
327754.4389999994,40231
327754.44699999935,40851
327754.58299999934,23972
327754.5909999993,22769
327754.6529999993,25000
327754.6589999993,25169
327754.66599999927,24521
327754.67199999926,31133
327754.67999999924,28169
327754.6869999992,42767
327754.8559999992,42767
327754.8629999992,42767
327754.8669999992,42767
327754.8749999992,22769
327754.88299999916,22769
327754.8869999992,42767
327754.8909999992,22769
327754.9009999992,22769
327754.90899999917,22769
327754.91499999916,22769
327754.92299999914,22769
327754.9299999991,22769
327754.93299999915,22769
327754.9409999991,22769
327754.9459999991,42767
327754.9539999991,42767
393307.8929999991,42767
393307.8989999991,42767
393307.9069999991,42767
393307.91399999906,42767
393307.91999999905,42767
393308.04599999904,22769
393308.04999999906,22769
393308.05599999905,22769
393308.06199999904,42767
393308.068999999,42767
393308.375999999,38527
393308.378999999,41088
393308.386999999,40064
393308.39499999897,42767
393308.40199999895,42767
393308.4099999989,29855
393308.4159999989,22769
393308.4219999989,22769
393308.4289999989,27437
458843.4289999989,27437
458843.4349999989,22769
458843.4419999989,22769
458843.44799999887,22769
458843.4509999989,22769
458843.45899999887,36321
458843.4639999989,25373
458843.5869999989,42767
458843.5939999989,42767
458843.59999999887,42767
458843.6029999989,42767
458843.6099999989,42767
458843.6139999989,42767
458843.6239999989,42767
458843.6299999989,42767
458843.6349999989,42767
458843.6429999989,42767
458843.64999999886,42767
458843.65599999885,42767
458843.6639999988,42767
458843.6719999988,42767
524396.5339999988,36402
524396.5389999988,42767
524396.5449999989,35702
524396.5499999989,23588
524396.5559999989,42767
524396.7049999989,42767
524396.7119999989,42767
524396.717999999,42767
524396.723999999,42767
524396.727999999,42767
524396.7319999989,42767
524396.7389999989,42767
524396.7479999989,42767
524396.7559999989,42767
524396.7599999988,42767
524396.7679999989,42767
589950.0959999989,42767
589950.0989999989,42767
589950.1049999989,42767
589950.112999999,42767
589950.117999999,42767
589950.125999999,42767
655485.125999999,42767
655485.133999999,42767
655485.1399999991,42767
655485.1479999991,41096
655485.1499999991,40314
655485.312999999,40164
655485.319999999,36307
655485.3259999991,33283
655485.3319999991,35876
655485.3389999991,36577
655485.3449999992,30422
655485.3519999991,34167
655485.3579999992,26416
655485.3659999992,26920
655485.3719999993,23708
655485.3789999993,22769
655485.3849999993,24331
655485.3919999993,22769
655485.3979999993,37169
655485.4059999994,32201
655485.4079999994,27036
655485.4159999994,28612
655485.4199999993,28898
655485.4269999993,29806
655485.4349999994,31234
655485.4399999994,30933
